ULTRA,ntaxa,mpd.obs,mpd.rand.mean,mpd.rand.sd,mpd.obs.rank,mpd.obs.z,mpd.obs.p,runs,
fo4_02,15,5.69,3.86,1.08,977,1.69,0.98,999,
fo5_02,22,7.04,8.64,1.45,123,-1.10,0.12,999,
fo6_02,19,8.59,8.59,1.26,537,0.00,0.54,999,
fo7_02,18,8.41,9.52,1.68,288,-0.66,0.29,999,
fo8_02,16,11.00,11.04,1.65,524,-0.02,0.52,999,
fo9_02,16,9.99,10.53,1.56,392,-0.34,0.39,999,
fo10_02,20,11.10,12.35,1.73,270,-0.72,0.27,999,
bc1_02,14,2.06,3.50,0.85,31,-1.70,0.03,999,-1.12
bc2_02,19,3.93,4.75,1.12,247,-0.73,0.25,999,
bc3_02,11,4.97,8.05,2.34,111,-1.32,0.11,999,
bc4_02,7,8.18,10.07,2.83,235,-0.66,0.24,999,
bc5_02,21,4.91,7.00,1.44,48,-1.46,0.05,999,
bc6_02,17,5.98,8.12,1.44,52,-1.48,0.05,999,
bc7_02,15,7.47,9.72,1.69,87,-1.34,0.09,999,
bc8_02,14,3.83,5.29,1.32,135,-1.10,0.14,999,
bc9_02,15,4.91,7.40,1.53,39,-1.63,0.04,999,
bc10_02,12,13.54,13.13,1.81,553.5,0.23,0.55,999,
na1_02,15,4.67,6.56,1.30,55,-1.45,0.06,999,-0.91
na2_02,14,3.95,5.26,1.06,88,-1.24,0.09,999,
na3_02,11,4.82,10.14,2.51,17,-2.12,0.02,999,
na4_02,11,12.59,13.52,1.66,297,-0.56,0.30,999,
na5_02,15,3.27,3.59,1.08,387,-0.30,0.39,999,
na6_02,19,8.87,11.52,2.09,109,-1.27,0.11,999,
na7_02,15,5.44,5.62,1.46,504,-0.12,0.50,999,
na8_02,15,10.00,10.52,2.12,459,-0.25,0.46,999,
na9_02,12,4.72,5.63,1.19,250,-0.77,0.25,999,
na10_02,12,8.67,10.61,1.90,161,-1.02,0.16,999,
fr1_03,21,12.24,14.24,1.41,97,-1.42,0.10,999,-2.10
fr2_03,27,8.71,13.82,1.57,2,-3.25,0.00,999,
fr3_03,20,13.22,14.33,1.34,221,-0.83,0.22,999,
fr4_03,26,12.69,14.41,1.25,106,-1.37,0.11,999,
fr5_03,22,10.85,13.87,1.54,29,-1.97,0.03,999,
fr6_03,25,8.34,13.03,1.62,1,-2.89,0.00,999,
fr7_03,29,10.16,13.92,1.57,14,-2.39,0.01,999,
fr8_03,27,12.37,14.82,1.09,28,-2.26,0.03,999,
fr9_03,23,8.85,13.78,1.52,1,-3.25,0.00,999,
fr10_03,13,9.79,12.61,2.06,100,-1.37,0.10,999,
fo1_03,32,13.86,15.00,1.02,148,-1.12,0.15,999,-1.30
fo2_03,27,12.11,14.28,1.39,85,-1.56,0.09,999,
fo3_03,33,13.18,14.36,1.35,227,-0.87,0.23,999,
fo4_03,24,5.59,3.80,0.74,1000,2.41,1.00,999,
fo5_03,36,12.00,14.75,1.11,8,-2.47,0.01,999,
fo6_03,29,13.74,14.90,1.05,147,-1.10,0.15,999,
fo7_03,34,10.47,14.79,1.10,1,-3.94,0.00,999,
fo8_03,23,13.64,14.56,1.23,248,-0.75,0.25,999,
fo9_03,34,11.01,14.11,1.40,8,-2.22,0.01,999,
fo10_03,23,12.46,14.36,1.41,119,-1.35,0.12,999,
bc1_03,29,10.10,12.92,1.60,32,-1.76,0.03,999,-2.27
bc2_03,30,6.96,13.10,1.78,1,-3.44,0.00,999,
bc3_03,21,3.71,7.22,1.54,4,-2.28,0.00,999,
bc4_03,18,11.66,14.41,1.32,38,-2.09,0.04,999,
bc5_03,34,12.87,15.13,0.91,22,-2.48,0.02,999,
bc6_03,36,8.45,12.70,1.62,3,-2.61,0.00,999,
bc7_03,25,10.23,14.63,1.22,3,-3.61,0.00,999,
bc8_03,23,10.79,14.42,1.30,6.5,-2.78,0.01,999,
bc9_03,27,10.63,14.39,1.28,1,-2.93,0.00,999,
bc10_03,15,15.30,13.40,1.53,872.5,1.24,0.87,999,
na1_03,33,9.79,14.41,1.32,1,-3.49,0.00,999,-2.81
na2_03,32,10.97,14.20,1.44,22,-2.24,0.02,999,
na3_03,26,9.21,13.75,1.67,5,-2.72,0.01,999,
na4_03,26,12.54,14.29,1.35,121,-1.30,0.12,999,
na5_03,27,7.12,11.96,1.57,1,-3.09,0.00,999,
na6_03,21,7.85,12.75,1.61,1,-3.05,0.00,999,
na7_03,31,8.61,14.03,1.32,1,-4.12,0.00,999,
na8_03,32,12.03,14.44,1.27,38,-1.90,0.04,999,
na9_03,26,8.72,13.90,1.41,1,-3.67,0.00,999,
na10_03,28,10.95,14.30,1.31,8,-2.55,0.01,999,
